,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
116,-587.7915,148.27551,-4.1976137,0.45420688,-6.42992,-2.670737,-19.19522,-14.360208,-10.890173,-5.5174212,-5.562007,-7.3793383,-8.274397
117,-572.05066,134.84325,-1.8549508,-3.3085656,-0.17420533,-4.4257636,-15.270092,-12.3378,-4.922128,-5.762954,-3.806898,-6.244147,-6.9522934
118,-557.736,157.53635,-1.2031558,-6.2408166,-0.06585851,-6.608273,-20.39739,-17.067978,-7.7485595,-9.741174,-7.6858444,-7.0094514,-5.837367
119,-536.6909,160.56087,0.47045267,-7.2925577,2.2941105,-11.38868,-26.052116,-15.164343,-6.898195,-12.255385,-9.573119,-8.282002,-8.942214
120,-553.6798,164.4817,-2.8753698,-2.1660132,-8.506263,-7.2738185,-24.288355,-17.048904,-8.060316,-9.506266,-7.423222,-8.251246,-4.782988
121,-561.18396,149.66544,-2.676512,-3.0047588,-5.0462894,-5.643694,-19.484716,-17.41104,-5.741348,-4.7261024,-4.6390924,-7.4218287,-4.9802294
122,-548.15125,149.79851,-2.6543489,-14.335166,-2.110444,-10.705748,-19.787342,-12.038752,-7.6067996,-11.394861,-7.364609,-5.8524723,-6.322649
123,-567.5791,152.97885,-5.5775223,-4.9487033,-11.938569,-6.868762,-14.829754,-10.244213,-5.7340794,-8.132281,-6.9928765,-8.259962,-5.3731885
124,-568.24524,146.42961,-1.7096821,-6.085985,-4.383433,-7.0087767,-16.148008,-13.328646,-7.2124543,-8.759484,-7.245455,-8.230982,-6.4179597
125,-546.46106,145.13884,1.7751307,-10.468317,-5.597352,-10.430958,-18.90152,-15.051272,-9.540825,-10.039672,-9.062167,-8.241867,-6.345083
126,-537.69934,142.08896,4.55702,-9.747023,-2.3362007,-8.793046,-21.704903,-16.729298,-8.881378,-9.5451,-8.324009,-9.725979,-7.614794
127,-562.8272,149.72177,0.5262356,-8.020445,-2.617722,-6.8177547,-18.68082,-16.976177,-8.306188,-8.13722,-7.6679955,-8.43698,-5.9494314
128,-572.1146,152.8579,-4.5341077,-2.2606728,-6.924742,-4.5435815,-19.302023,-13.974907,-7.7486687,-6.537338,-3.916999,-7.99293,-7.327971
129,-553.6653,157.78795,-4.520227,-9.136078,-3.4193594,-7.358878,-20.793898,-17.07172,-8.542632,-10.760231,-8.1095,-7.8493576,-5.0713034
130,-539.3292,150.76025,5.5402713,-14.76,-3.8873322,-9.562421,-21.50652,-15.287828,-8.360921,-10.393293,-9.5107765,-9.347239,-7.26388
131,-546.9802,154.21793,2.4086068,-11.181262,-6.534497,-9.170321,-19.26234,-15.634347,-8.422607,-8.914224,-8.25801,-8.843988,-6.281822
132,-549.5254,150.01881,11.820052,-7.4223733,-5.240092,-9.033747,-17.960102,-16.326147,-9.778432,-9.636759,-10.685077,-10.191056,-7.690606
133,-512.77246,158.4011,1.8626274,-6.92359,-10.083478,-9.132129,-16.619526,-14.386905,-9.431241,-12.334617,-12.593553,-8.942932,-3.2973013
134,-534.89557,154.28331,11.219177,-14.331418,-7.9181166,-11.254611,-20.949152,-14.955905,-7.157664,-9.503127,-11.953306,-10.185728,-5.2732797
135,-556.5631,164.45078,5.4509115,-4.315502,-7.263504,-8.789563,-20.53948,-18.11369,-9.70386,-11.2087145,-11.722072,-11.82509,-7.077079
136,-561.47,154.8534,9.931001,-2.6720848,-6.131651,-8.434266,-16.873596,-16.987411,-9.179839,-10.663222,-12.494937,-11.480686,-6.626028
137,-547.0039,159.31874,12.118032,-7.878769,-8.834008,-7.1857495,-15.452819,-17.176422,-10.527781,-9.176291,-9.696324,-9.957585,-5.5651245
138,-530.1997,168.04881,1.957675,-7.944237,-7.8139753,-8.027422,-12.157717,-10.676716,-6.793062,-10.205028,-8.769545,-6.0145698,-4.3771634
139,-574.66583,149.91713,-3.335483,-0.3858491,-4.66671,-4.4808607,-17.764656,-13.982959,-7.423333,-7.8249016,-4.6882844,-6.3518677,-6.22406
140,-536.70605,164.96832,7.1647763,-12.226772,-8.739459,-10.445926,-15.725177,-15.183237,-9.658911,-9.98401,-8.90093,-8.345674,-6.623159
141,-537.8685,165.2498,3.209473,-14.876216,-7.9705987,-8.056132,-13.946508,-16.400902,-11.085157,-8.620077,-8.143868,-8.145076,-5.777758
142,-534.7345,167.28235,9.261491,-10.5646715,-6.1849937,-7.380589,-13.872016,-14.585184,-10.244264,-10.175536,-9.80125,-7.81102,-4.9073114
143,-528.97296,143.92043,15.649125,-14.673437,-6.400467,-7.684949,-17.7707,-15.915175,-8.939986,-9.725776,-10.164305,-8.817788,-6.6289225
144,-541.1295,142.73041,9.390626,-13.081382,-2.8461413,-5.412536,-13.950849,-12.168339,-6.9679885,-7.425669,-7.2367253,-7.013753,-5.4212127
145,-548.40857,140.7485,9.380613,-13.374204,-2.6450214,-5.696085,-14.899543,-12.736944,-7.0993237,-7.3967795,-5.7750907,-5.5266085,-5.7972164
146,-547.17535,154.25665,1.940618,-9.89792,-1.2612678,-6.5347147,-15.504125,-13.6320505,-7.6719494,-9.087261,-7.5541325,-6.6050773,-6.2265034
147,-538.36487,144.78152,10.203515,-15.596154,-2.6217422,-6.2815757,-17.778805,-14.461671,-8.022949,-9.382119,-8.036518,-5.94065,-5.4979506
148,-519.0748,163.86357,-0.8728904,-21.555462,-5.6804585,-9.991562,-20.754175,-14.984276,-7.1326227,-9.528803,-9.295205,-6.5472784,-4.7693596
149,-538.2182,149.6474,5.429938,-12.749333,-2.0953948,-6.3065467,-15.490208,-13.013201,-7.6976743,-9.724022,-8.600585,-6.9730954,-5.8251843
150,-559.2767,151.98462,-5.6748457,-6.108678,-0.97307116,-4.478677,-19.662977,-16.871273,-8.285384,-9.226333,-5.2470646,-5.456274,-5.777331
151,-558.16797,156.24545,-2.147335,-5.5868607,-5.7266045,-7.593211,-19.142643,-17.731009,-11.475734,-10.651268,-6.935003,-9.71261,-8.270078
152,-528.5752,139.64389,12.269838,-13.27324,-6.453901,-9.618604,-19.934494,-16.696024,-9.953161,-10.101805,-8.902022,-8.405892,-6.948611
153,-551.3287,141.92336,11.001303,-11.887336,-4.615532,-8.937015,-17.82917,-14.466084,-8.829651,-8.538027,-7.794716,-7.926719,-6.448374
154,-536.7712,142.52301,16.255568,-15.471302,-7.9200435,-9.437376,-18.170189,-14.545686,-8.111678,-8.51029,-8.621993,-8.745489,-6.3854456
