,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta1_13,mfcc_delta1_14,mfcc_delta1_15,mfcc_delta1_16
41,-529.25165,114.740685,5.7374535,-4.7756295,3.7198281,2.4553006,-8.003143,-6.981792,-2.5716348,-5.2729573,-4.596189,-1.1947773,-2.6076074,-6.296964,-4.677289,-3.2323136,-2.4433384,-0.006125179,-0.007160245,-0.0012243653,0.0027974679,0.0015193779,0.0022043854,0.0018517686,-0.0014134347,-0.0014411847,0.0012799397,0.001149976,-0.0010162636,-0.00044402553,0.000266046,-0.0006024946,-0.0010559268,0.00022130765
42,-602.6044,97.886925,2.7623792,6.635572,-3.4407597,1.2165494,-2.2887392,-5.8154583,-2.9271374,-6.2119336,-1.7332865,-5.029902,-2.2158797,-5.928648,-2.868294,-5.190878,-3.428368,-0.066365935,-0.058422577,-0.0026589052,0.025407573,0.04306251,0.02367515,0.008508868,-0.008417887,-0.010142917,0.003451448,0.009857548,0.01035815,0.008511688,0.0025545864,-0.0133452015,-0.001083073,0.0039048775
43,-515.0763,120.50315,-2.2583115,-3.906289,1.4453977,-1.5616997,-8.413809,-8.476863,-6.4723067,-5.9236474,-5.937209,-3.9900284,-2.5570621,-3.9270232,-4.6160126,-4.26632,-1.7212167,-0.028036654,-0.02639043,0.0063511543,0.0552786,0.07132915,0.01599607,-0.0069274073,0.015183349,0.012727923,0.0026196376,-0.0062667932,-0.019270008,-0.008139003,-0.0015233265,0.009291279,0.029243365,0.016210562
44,-498.1269,110.79628,10.456643,-7.3211474,2.0158894,-0.8171465,-9.448451,-7.382014,-4.028885,-5.1198535,-4.0718656,-2.8900445,-4.3374343,-5.3923054,-4.687345,-3.4655116,-2.0588396,-0.0116296,-0.03320036,-0.04550013,-0.050775122,-0.04628231,-0.005233447,0.017995356,0.014442524,0.0061071985,-0.0017659555,0.0077546653,0.007913033,0.012626516,0.03098769,0.018256534,0.00050751993,0.0040462916
45,-531.0702,120.479645,5.6529903,-8.472652,3.3918447,2.855709,-5.9083037,-7.5102205,-3.2031384,-4.1729703,-5.4856396,-4.1645727,-4.6860285,-6.0702124,-5.3436584,-3.84723,-2.876826,-0.022202158,-0.013028359,0.0056429524,-0.0010281442,-0.0029010691,0.0046341484,0.0049471604,0.0050878194,0.0073140757,0.0050594173,0.003762466,0.0034055477,-0.00048146074,-0.0026406092,-0.0010222112,0.0017160409,0.002601324
46,-540.09875,125.05536,-9.276571,4.1623683,1.1642673,2.1597803,-6.6268463,-8.598618,-0.6810555,-5.9594455,-2.264521,-1.898623,0.7255883,-4.3657084,-3.8733602,-3.8989742,-2.7573802,-0.073776744,-0.041703872,0.009041184,0.004476618,-0.0023793827,0.0014097887,-0.009584255,0.009770353,0.030643973,0.0058891615,-0.0019570333,0.01768168,0.007993992,-0.0045494977,0.013926451,0.014899301,0.0009907222
47,-537.4606,111.21171,-4.8857384,1.360386,4.580668,1.9065025,-3.68299,-3.924962,0.17887099,-2.3837373,-2.593896,-0.9024942,-2.295255,-4.390234,-3.902126,-3.9476604,-3.9260597,-0.10364173,-0.06040787,0.041858763,0.0405093,0.0121413255,-0.0028225763,0.004695897,0.014627107,0.006345677,-0.007312534,-0.009694277,0.005405773,0.005785233,-0.0041373805,0.0014339598,0.0014365915,-0.006021046
48,-530.7195,123.02651,-0.27493808,-2.5748236,0.6003809,-3.098226,-9.702515,-6.6738515,-2.1112723,-6.009277,-4.9261985,-2.5553422,-3.585425,-5.436704,-4.143987,-2.5844393,-2.216951,-0.12811923,-0.05689665,0.047073502,0.024387866,0.015052453,0.0069158887,0.0075944886,-0.005287788,-0.0027159466,0.007323699,-0.00021462473,-0.00168679,0.005906437,0.009149503,-0.0077960463,-0.008599277,-0.0003602447
49,-562.9526,110.2607,-3.3681657,4.3080797,-3.249835,0.30372745,-7.4973116,-9.129193,-0.42151612,-5.8901024,-3.5940964,-3.6657069,-4.8460326,-8.060585,-2.643518,-3.0231411,-2.0485198,0.15477237,0.01680029,-0.06367862,0.024525458,0.029547282,-0.00062791485,-0.009801861,-0.002386693,-0.015774336,-0.025526743,-0.0004313687,0.0059386003,-0.014055739,-0.00464223,0.0008721809,0.011206842,-0.003740579
50,-576.4165,115.557625,2.5481977,9.900554,1.2048229,0.0964337,-6.591072,-10.069929,-0.31515437,-5.6898937,-2.5426881,-3.116768,-2.1626189,-4.9240394,-1.0923402,-1.5033171,-2.2021685,-0.0343018,-0.023544928,-0.007993114,0.0016183603,0.009364769,0.0004977168,0.007911282,0.006428054,0.010966031,0.010758202,0.006975917,0.0056643942,0.0017757567,0.004697819,0.0024255787,0.004279932,0.0033080305
51,-560.493,121.738304,-5.3946776,-1.4409314,-5.869011,2.2969973,-5.0291686,-10.858851,-1.0989687,-3.347031,-2.569288,-3.1889508,-0.27351496,-7.9806066,-5.5804644,-3.4492395,-0.7583179,-0.06901188,-0.06904247,-0.01931832,0.043948658,0.06750512,0.031593837,0.0009639984,-0.010592796,-0.0030511394,-0.006984498,4.5686098e-05,0.010782988,0.006885438,8.137366e-05,-0.0031975855,0.00272562,0.0060993424
52,-535.10657,129.09775,4.380212,-9.671549,-8.130034,-4.144444,-10.533902,-9.835449,-1.1322329,-5.4643044,-7.510304,-2.6500556,-2.0255413,-6.5488667,-6.1830955,-3.844508,-3.0155277,-0.040284228,-0.03358152,-0.005798506,0.008809783,0.012279996,0.0053944746,0.008705404,0.001844603,-0.005208556,0.0016147258,0.00550944,0.0040402035,-0.0013949686,0.00097224436,0.010129651,0.012016002,0.004258708
53,-531.27,134.5577,3.6110094,-4.186441,-4.0097675,-0.66182166,-12.480445,-12.565278,-5.2550235,-10.877236,-8.77733,-2.6261148,-1.8219957,-6.8846917,-4.6653547,-2.9857368,-2.21226,-0.09277833,-0.08039573,-0.0040940037,0.026648337,0.028036628,0.025407564,0.034947004,0.030240633,0.008504066,0.0012881816,-0.008275743,-0.0073566153,0.0009903065,-0.0019731934,-0.006286644,-0.002964204,0.014658866
54,-519.57214,140.40889,-8.423588,1.2973322,0.37954634,-1.2497492,-16.471212,-14.781329,-0.8410003,-13.794305,-10.628784,-3.6825645,-2.6939037,-8.436358,-3.5915713,-1.384199,-4.437199,-0.06316665,0.033262562,0.005089127,-0.030544786,0.0075254682,-0.015948828,-0.009827418,-0.011240179,-0.0006953616,-0.014029431,0.010155209,0.0050968328,-0.002710985,0.006486033,0.01675172,0.024588732,-0.005479072
