,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
3254,0.12568946,-1.8241491,7.4087567,0.02969844,0.004263924,0.028100519,10.366672,-7.8646865,3.8987045,6.2770844,33.799213,0.0,0.0,4.046304,-10.692562,11.213272,368.2556,1219.5455,27.590014,1413.8511,933.55035,18.487307,2318.7512,986.83887,3.6900222
3255,0.54569525,-2.9062212,15.238826,0.11537065,0.00053356716,0.10479837,24.072006,-33.31419,-13.97345,-6.69661,36.02055,0.0,0.0,-8.566907,-1.9062705,8.883983,853.25244,1564.902,15.403436,1775.68,946.9035,7.9127717,2979.5388,587.29596,-4.6673617
3256,0.10834312,-4.05738,13.285621,0.034533024,-0.0040449305,0.024397887,9.2456665,-1.0551497,-0.3575643,-3.7666264,30.823944,0.0,0.0,-1.1542623,-1.8543015,22.024813,440.90518,1107.9928,6.8138185,1421.3632,903.7205,8.473336,2346.4695,860.5429,-14.854693
3257,0.1644888,-25.949432,36.232613,0.1163187,-0.043521468,0.09073899,38.475224,14.152623,-1.7215403,-14.412944,35.6348,0.0,0.0,6.147614,7.8067036,32.82039,824.492,1242.1093,-7.4189143,1952.339,1199.6301,-19.727203,2732.7175,1193.57,-26.544645
3258,0.12441638,-8.253258,15.907222,0.081144996,-0.020233251,0.012156617,25.120508,-8.477341,-10.594836,-7.6778607,28.23717,0.0,0.0,3.6634233,3.5553467,6.869438,367.0585,1479.4073,0.50107527,1234.9083,1359.4978,9.800118,2233.84,963.1184,-3.6800435
3259,0.14937721,-11.217739,17.689247,0.077554084,-0.026124582,0.04595201,23.869246,-2.4531314,-11.398786,-16.020288,38.242893,0.0,0.0,1.5483192,6.6603622,31.92671,846.8549,1254.9115,3.2229042,1826.4681,836.0427,-17.847227,3068.5168,472.28964,-22.043442
3260,0.25400174,-14.449081,17.930342,0.133094,-0.04732501,0.05863804,37.371765,-11.270602,-17.985798,-12.738387,37.95689,0.0,0.0,8.77649,4.6085124,37.037373,823.0512,1257.0947,-0.57956976,1886.538,933.5695,-19.34569,2696.4792,1273.613,-33.008427
3261,0.13801216,-12.00307,20.098814,0.08884996,-0.026938813,0.023610944,21.802172,-4.0874934,-7.877411,-18.854612,41.288223,0.0,0.0,-0.44210267,5.588192,15.0602,291.50238,1368.9886,0.0,1416.5924,1415.91,-5.783689,2166.7705,934.78876,-0.7484588
3262,0.17289054,0.31754956,15.218659,0.051205058,-0.008363853,0.032263737,20.092813,-23.183283,-10.1974535,-5.3462844,36.11975,0.0,0.0,5.6812224,-6.548101,20.0739,579.82135,1063.045,4.8585386,1647.2135,893.66187,-9.206323,2562.7317,1357.4858,-18.685667
3263,0.12975115,-3.6383235,5.257669,0.049099546,-0.016878113,0.014323387,16.260405,-11.05439,-4.5815206,-0.7403973,35.471455,0.0,0.0,6.6566696,8.682446,37.425823,844.009,1356.3234,-8.484862,1937.9945,904.6572,-22.591385,3110.6672,762.26245,-31.720047
3264,0.5505436,-11.229856,16.511923,0.13444367,-0.03801376,0.1088913,23.255602,-23.744299,-5.358476,-35.106174,40.82034,0.0,0.0,2.8482635,17.252161,19.873693,696.0498,1451.8732,-19.71846,1662.1998,1112.6844,-12.242046,2558.8462,860.2937,-16.806759
